Date,Close,High,Low,Open,Volume
2021-01-11,121.78436279296875,123.68711063610347,121.44153076355137,123.44712559987059,3902700
2021-01-12,121.2186508178711,121.70720008165065,119.52161042229073,121.39007987209591,5150000
2021-01-13,122.21288299560547,122.77000127093847,120.85010831717993,120.95295528817029,4361600
2021-01-14,121.50150299072266,122.08433305066545,120.9101197868507,121.26151798904083,4724700
2021-01-15,121.18440246582031,122.22149095321416,120.44730181842245,121.23582596337303,4309100
2021-01-19,121.75862121582031,122.2043132074386,121.22722777694491,122.032897234724,5158600
2021-01-20,121.13296508789062,121.51865435354448,119.92446072106648,120.88440077392984,5019300
2021-01-21,119.65876770019531,120.67013127631417,118.91310089142286,120.24158472815478,5684100
2021-01-22,118.7845230102539,119.59875879450938,118.4759689882179,119.56448082681742,4014900
2021-01-25,120.14730072021484,120.27587252811263,117.9188665768798,118.3302675901074,3829000
2021-01-26,121.53580474853516,121.78435599425663,119.7787612699014,121.11582441947155,4242500
2021-01-27,118.3131103515625,121.99004659519441,117.89314315734053,120.43013107893819,6659800
2021-01-28,119.29879760742188,120.67013880011359,118.07314760260111,118.9902435503806,5514000
2021-01-29,117.05320739746094,118.67311278424465,116.57322429031555,118.37312497705409,6778100
2021-02-01,117.40460205078125,118.24456265410981,116.47893998957564,117.40460205078125,4185700
2021-02-02,118.60452270507812,119.59017433387947,117.0788983505125,117.80741948713086,3581600
2021-02-03,118.2959976196289,119.09308795403662,117.48176176070177,118.0645788123285,3609600
2021-02-04,119.71876525878906,119.7873342803707,118.06458175206913,118.06458175206913,3860300
2021-02-05,120.81582641601562,121.81004428566014,119.76159268491442,120.41299168849572,4437900
2021-02-08,120.33584594726562,121.54435015556192,119.56446751714495,121.01295670717658,4112200
2021-02-09,119.65019989013672,120.97868370924533,119.55591912766425,120.96155126385221,3179300
2021-02-10,118.02171325683594,120.95296999016675,117.21604367761239,120.95296999016675,6966600
2021-02-11,115.6818618774414,118.45884835260242,115.14188901549814,118.15029429980675,7528000
2021-02-12,114.73904418945312,116.22182460514506,114.37906667228117,115.93040302421346,5659300
2021-02-16,115.17616271972656,115.54470643601279,114.33620215470887,115.33043318379016,5180100
2021-02-17,115.24474334716797,115.76757065842327,114.73048225871257,114.90189826213012,3353000
2021-02-18,116.02468872070312,116.30753101298686,114.77334011894183,114.91047815366173,3935200
2021-02-19,113.57341766357422,115.81043148675681,113.38485610926729,115.71615070960335,5414900
2021-02-22,113.1277084350586,113.65053568197945,112.07347464126991,113.17055262198889,5792900
2021-02-23,113.80481719970703,115.14188030122766,112.53632311341855,113.69339091517952,6264300
2021-02-24,113.21343994140625,113.38485596923596,112.45062750109015,113.00774593929245,4944000
2021-02-25,111.42210388183594,113.21342533624444,111.25068787611985,112.57918480727463,5702300
2021-02-26,110.72785949707031,112.16776962513445,110.19646596098036,111.910652158125,8329000
2021-03-01,111.95350646972656,113.11058748866637,111.7135214266908,111.94494024611957,5287300
2021-03-02,112.33919525146484,113.16199727698844,111.74779893913092,111.85064592277077,5614000
2021-03-03,110.68501281738281,111.87637181526526,110.54787476972054,111.25069745533668,7505800
2021-03-04,111.30098724365234,113.82368129266328,110.86038419084701,111.66383914289737,9102800
2021-03-05,114.92952728271484,115.25782753038469,111.6120126775068,112.00078165453988,10186500
2021-03-08,114.1520004272461,115.92306073732755,114.03104977412883,115.10232322098669,8634900
2021-03-09,114.25564575195312,115.68978405338913,114.03966154448251,114.85176427379278,8930200
2021-03-10,115.40467834472656,116.17358156288405,112.77830311278396,114.48890745373329,7791700
2021-03-11,115.09365844726562,116.26861299088975,114.98999025250231,115.20597444667858,4458900
2021-03-12,114.93817138671875,115.58612412943002,114.59260186365898,115.00728792785716,5275100
2021-03-15,114.92952728271484,115.44789470717974,114.01375625777388,115.38741279518531,5389200
2021-03-16,115.77617645263672,116.26862680151484,114.68762073043386,114.97272148252688,5544700
2021-03-17,115.43923950195312,116.25134226300133,115.23190309156148,116.07855752679818,6199500
2021-03-18,114.49755096435547,114.97271887372867,113.52994589990845,114.35068328011836,6476700
2021-03-19,116.19950103759766,116.64010406530213,114.19516130913824,114.3074773129692,16114400
2021-03-22,119.05050659179688,119.39607607623444,116.70923180944523,117.17576511432986,7813400
2021-03-23,120.484619140625,121.09800682125015,119.37876802597636,119.61203462835465,6978400
2021-03-24,119.92303466796875,121.0461548594997,119.89711762515563,120.09581934759827,5082300
2021-03-25,120.6314926147461,121.16712918127743,119.5170068250313,120.24271053116315,5827600
2021-03-26,123.2838134765625,123.54299722615097,120.19956508609563,120.62288580054481,6785600
2021-03-29,125.10669708251953,125.23629552368243,123.04188847324399,123.43065743147157,6105800
2021-03-30,123.14556121826172,125.0548675876607,122.78270929836869,124.13044876729452,4372700
2021-03-31,122.20386505126953,123.8280705511043,121.96196378737459,123.81943592833312,6257900
2021-04-01,122.05697631835938,122.93819544636119,121.04617195798724,121.97922517893718,4823400
2021-04-05,123.68119049072266,124.70062954616874,122.09155000631748,122.54943543734039,5980700
2021-04-06,124.12181091308594,124.57969640836308,123.1628404416765,123.57752645609847,4751900
2021-04-07,123.897216796875,124.49333547681525,123.56028187116529,124.40693649786061,4849200
2021-04-08,123.14556121826172,124.54514797514175,122.72224056970204,124.13044876729452,6725100
2021-04-09,123.17149353027344,123.66393072177699,122.34210828322628,122.8863927635582,4950800
2021-04-12,123.56023406982422,123.94900295945162,122.72221439217293,122.85179962783931,4386700
2021-04-13,123.586181640625,124.38100204181842,122.56672919862525,122.7395271323629,5283300
2021-04-14,122.77407836914062,123.30108042683445,122.02245745407768,123.17149515962754,4685300
2021-04-15,122.94683837890625,123.62935580253611,122.17793518873242,122.39391937903551,4777100
2021-04-16,124.5451431274414,124.68337619134333,123.0764530757174,123.94038995115864,6481400
2021-04-19,125.05485534667969,125.78920692055839,123.76758473242484,124.83023651805587,6621200
2021-04-20,125.88424682617188,126.6963364086148,124.34642707323972,124.51922499292971,4999700
2021-04-21,126.98143768310547,127.68987224540464,126.31621578353828,127.30110328975215,6316000
2021-04-22,126.19525909423828,126.69633085495767,125.59914057227748,126.34212677343257,4904400
2021-04-23,125.9879379272461,126.42854106421183,125.32270272691392,125.7114717516052,4354700
2021-04-26,123.8540267944336,125.9361184299719,123.5257264684187,125.74605120781952,5817700
2021-04-27,123.44792938232422,123.69846525509898,122.7913421571049,123.21466275413428,4693700
2021-04-28,122.53215789794922,124.13908087288763,122.44575894491719,123.96629614945296,4962700
2021-04-29,124.3550796508789,124.778400295525,122.65312290113806,122.76543891672054,4699900
2021-04-30,124.5451431274414,124.61425965939236,123.1110047503776,123.81943931590209,5051100
2021-05-03,125.95336151123047,126.80866383320718,124.49331914643139,125.29677417825636,6109800
2021-05-04,124.37234497070312,126.80000521955883,123.96629362844301,126.11748777932199,6603800
2021-05-05,124.31188201904297,124.89936597548811,123.97494714991292,124.16501432558948,5305200
2021-05-06,125.75464630126953,126.10022895228896,124.41554154165844,124.81295829467322,4472200
2021-05-07,125.75464630126953,126.1347806260758,124.89935725308564,125.46954555766483,4181000
2021-05-10,126.7568130493164,127.8540165171245,126.22981105447597,126.55811126908704,5270600
2021-05-11,125.8323974609375,127.55163654544606,125.28812620732712,127.14558516962057,5266100
2021-05-12,124.60562133789062,125.91017455598421,124.27733426442474,125.16718825924843,5651700
2021-05-13,126.45446014404297,127.10241292310879,124.04408160627665,124.6142832156865,4849400
